version,platform_version,round,episode_id,engine_version,era,declared_wire,declared_sim,formed,partners_named,kickoff_present,tags,jointact,win,rank,score,score_ratio,decode_ok
v44_baseline,43,4501,f690c180-37a8-47e3-82e7-ff30c61318aa,0.7.356,pre-GV15,False,n/a_pre_gv15,False,n/a_not_tracked,n/a_pre_v46,n/a_not_exported,2,False,1,n/a_not_exported,6912.0,n/a_not_tracked
v44_baseline,43,4501,bc9d6acf-224d-469b-bb2d-c4221fe1f79b,0.7.356,pre-GV15,False,n/a_pre_gv15,False,n/a_not_tracked,n/a_pre_v46,n/a_not_exported,0,False,13,n/a_not_exported,0.1818,n/a_not_tracked
v44_baseline,43,4501,44eecd1d-124e-4c86-bd59-6f02c33041f0,0.7.356,pre-GV15,False,n/a_pre_gv15,False,n/a_not_tracked,n/a_pre_v46,n/a_not_exported,0,False,14,n/a_not_exported,0.1667,n/a_not_tracked
v44_baseline,43,4501,1254a83b-1361-4601-8cee-938e59037746,0.7.356,pre-GV15,False,n/a_pre_gv15,False,n/a_not_tracked,n/a_pre_v46,n/a_not_exported,0,False,12,n/a_not_exported,0.6667,n/a_not_tracked
v44_baseline,43,4501,b4a9a910-0e81-45a4-93e7-fd2016c369cd,0.7.356,pre-GV15,False,n/a_pre_gv15,False,n/a_not_tracked,n/a_pre_v46,n/a_not_exported,1,False,7,n/a_not_exported,1.7778,n/a_not_tracked
v44_baseline,43,4501,da318622-b066-4b06-a6b1-2ba9badbf44a,0.7.356,pre-GV15,False,n/a_pre_gv15,False,n/a_not_tracked,n/a_pre_v46,n/a_not_exported,0,False,12,n/a_not_exported,0.6667,n/a_not_tracked
v44_baseline,43,4501,40dcce69-8a4a-4078-9f4f-88a8895ff3e3,0.7.356,pre-GV15,False,n/a_pre_gv15,False,n/a_not_tracked,n/a_pre_v46,n/a_not_exported,2,True,1,n/a_not_exported,6144.0,n/a_not_tracked
v44_baseline,43,4501,e31c8a39-ff75-4277-8210-f7990322235b,0.7.356,pre-GV15,False,n/a_pre_gv15,False,n/a_not_tracked,n/a_pre_v46,n/a_not_exported,1,False,10,n/a_not_exported,0.4286,n/a_not_tracked
v44_baseline,43,4501,aa9f39f9-b4ee-42d5-a719-20f37844168e,0.7.356,pre-GV15,False,n/a_pre_gv15,False,n/a_not_tracked,n/a_pre_v46,n/a_not_exported,2,True,1,n/a_not_exported,46080.0,n/a_not_tracked
v44_baseline,43,4502,e2e182be-5ce8-4db2-995b-5b62c7803b84,0.7.356,pre-GV15,False,n/a_pre_gv15,False,n/a_not_tracked,n/a_pre_v46,n/a_not_exported,1,False,6,n/a_not_exported,2.4,n/a_not_tracked
v44_baseline,43,4500,16762310-c3de-4829-95e2-b170a38d4fdc,0.7.356,pre-GV15,True,n/a_pre_gv15,False,n/a_not_tracked,n/a_pre_v46,n/a_not_exported,0,False,13,n/a_not_exported,0.2222,n/a_not_tracked
v44_baseline,43,4500,11ad1ccc-a0d7-4db0-93e0-9cdbf98a2c16,0.7.356,pre-GV15,False,n/a_pre_gv15,False,n/a_not_tracked,n/a_pre_v46,n/a_not_exported,0,False,13,n/a_not_exported,0.0741,n/a_not_tracked
v44_baseline,43,4502,9b053e2c-2a43-4307-aad6-6b87fd058308,0.7.356,pre-GV15,False,n/a_pre_gv15,False,n/a_not_tracked,n/a_pre_v46,n/a_not_exported,1,False,6,n/a_not_exported,5.3333,n/a_not_tracked
